id_curso,nome,descricao,valor,duracao
1, Strategize Synergistic Systems, Aperiam odio distinctio qui est similique. Aut asperiores delectus rerum eveniet optio eligendi., 138.00, 108
2, Whiteboard Extensible Info-Mediaries, Exercitationem labore inventore cupiditate doloremque quas. Non quidem adipisci., 474.00, 48
3, Grow Mission-Critical Markets, Quos reiciendis nemo qui corporis. Architecto maxime vero laborum ipsam., 449.00, 74
4, Morph Virtual Content, Debitis sint nemo enim magnam quo. Sunt facilis occaecati quibusdam., 436.00, 182
5, Integrate Robust E-Tailers, Earum delectus quam. Neque accusantium fuga alias., 175.00, 97
6, Utilize Viral Partnerships, Ullam quia doloremque expedita necessitatibus. Veritatis beatae et occaecati optio ullam mollitia., 226.00, 197
7, Productize Holistic E-Tailers, Consectetur dolor rem. Voluptates ex quo aperiam corporis ad. Error autem illum occaecati libero., 84.00, 167
8, Harness Dot-Com Schemas, Iure magnam necessitatibus eum. Eveniet aliquam assumenda. Nemo quaerat sapiente explicabo nisi., 168.00, 175
9, Transform Bricks-And-Clicks Networks, Fugit tenetur dolore nostrum. Non eligendi labore. Mollitia sit quidem cumque velit., 273.00, 139
10, Incentivize Value-Added E-Services, Modi ipsa quod optio distinctio. Doloribus nemo quo facere quam aliquam dolorum., 73.00, 165
11, Utilize Extensible Eyeballs, Illum quis quae velit ut aliquid. Veniam perferendis voluptates possimus est adipisci maiores., 220.00, 35
12, Envisioneer Web-Enabled Functionalities, Quibusdam iusto pariatur iure deleniti sapiente vel. Commodi doloribus omnis quaerat soluta., 410.00, 60
13, Incentivize Impactful Infrastructures, Veritatis recusandae aperiam neque incidunt. Minus neque velit., 234.00, 15
14, Synthesize Magnetic Applications, Sit enim maiores totam assumenda quam atque. Sunt recusandae neque., 205.00, 15
15, Productize E-Business Platforms, Nemo blanditiis iste explicabo voluptatum quisquam ea., 320.00, 170
16, Facilitate Integrated Relationships, Animi officiis quia harum. Voluptates nemo repellat assumenda. Natus possimus eos dolor voluptas., 355.00, 10
17, Grow Enterprise Technologies, Quia soluta veritatis voluptatem. Eum rem voluptatum voluptatibus unde eos., 10.00, 176
18, Mesh Strategic Communities, Aliquam ad natus., 40.00, 91
19, Deploy World-Class Eyeballs, Eius recusandae eius. Ratione quibusdam eaque animi. Libero tempora animi adipisci dolore porro., 340.00, 11
20, Strategize Virtual E-Services, Dolor nostrum deserunt aspernatur officiis at. Atque laborum perferendis., 499.00, 157
21, Facilitate Global Paradigms, Architecto ad expedita velit. Adipisci beatae fugiat pariatur labore accusantium accusamus., 333.00, 23
22, Transform Next-Generation Infrastructures, Vel eligendi officiis odit iste. Magnam pariatur doloremque qui sapiente ea., 239.00, 198
23, Drive Sticky Experiences, Natus commodi omnis porro exercitationem. Ad iusto nemo facere exercitationem., 71.00, 80
24, Productize Next-Generation Supply-Chains, Commodi nihil optio tempore. Provident numquam id ut totam voluptatum., 79.00, 50
25, Synergize Global Relationships, Nesciunt quos repellendus error. Corrupti nisi ratione culpa totam quaerat., 108.00, 60
26, Disintermediate Plug-And-Play Channels, Ducimus totam recusandae. Exercitationem magnam voluptatibus maiores., 358.00, 140
27, Leverage Value-Added Info-Mediaries, Eos repudiandae iure. Iure id ipsam cupiditate omnis porro. Fugit pariatur tempora ipsa., 38.00, 8
28, Leverage Clicks-And-Mortar Roi, Voluptas enim excepturi beatae ex voluptatibus nam. Culpa eaque molestiae neque hic mollitia., 459.00, 141
29, Morph Cutting-Edge Deliverables, Sed sunt magni omnis autem., 166.00, 104
30, Scale Next-Generation Channels, Sunt fugit beatae iste aspernatur doloremque eos. Esse ea at nisi occaecati ratione., 164.00, 132
31, Deliver Value-Added Applications, Enim eius iste tenetur provident provident. Eos ducimus optio mollitia rerum perspiciatis., 125.00, 172
32, Transition Turn-Key Roi, Sed dicta similique voluptas. Aut quibusdam excepturi maxime consequatur voluptas dolore., 230.00, 8
33, Generate Out-Of-The-Box Networks, Provident ipsam magni dolorem laudantium minima sequi. Velit debitis debitis., 108.00, 68
34, Envisioneer Sticky Web Services, Officiis natus porro expedita sit. Nihil delectus error animi temporibus., 206.00, 137
35, Cultivate Integrated Convergence, Facilis quis doloremque voluptatum. Qui dignissimos voluptatibus voluptas officia., 215.00, 139
36, Harness Robust E-Commerce, Dolorum dignissimos ducimus libero perspiciatis. Aperiam assumenda sed cum eius repellat., 500.00, 4
37, Redefine B2B Architectures, Magnam quo iusto harum fugit. Enim consequuntur recusandae., 366.00, 75
38, Facilitate Wireless Relationships, Id magnam nemo eligendi. Dignissimos dolorem voluptates quia quidem quas., 272.00, 133
39, Drive Strategic Paradigms, Ea labore ipsa. Natus sunt voluptates dignissimos delectus asperiores. Optio tenetur ipsa placeat., 466.00, 151
40, Optimize Dynamic Communities, Itaque vitae labore alias fuga eos repellendus., 356.00, 136
41, Engineer Dot-Com Web-Readiness, Quidem nesciunt voluptas., 294.00, 141
42, Target Leading-Edge Mindshare, Tempora occaecati nulla. Exercitationem nemo corrupti., 460.00, 101
43, Architect Dot-Com Niches, Odit facilis repellat. Culpa eius iure.\nCulpa dolorem vitae vel ipsam similique accusamus., 262.00, 154
44, Target Mission-Critical Infrastructures, Molestiae possimus illum maiores quibusdam. Voluptate quisquam officiis sit dolorem., 308.00, 196
45, Target Efficient Supply-Chains, Inventore iste culpa in. Facere quasi iste a consequuntur quas assumenda. Nobis quasi voluptas., 188.00, 66
46, Revolutionize Viral Portals, Culpa possimus consequuntur molestias deserunt cum. Nemo inventore dignissimos similique., 143.00, 51
47, Synergize Out-Of-The-Box E-Tailers, In ut maxime deleniti alias laudantium. Sunt aut dicta officia a. Maxime aspernatur delectus ea., 308.00, 49
48, Benchmark Proactive Markets, Tempora excepturi distinctio unde nihil neque. Ducimus accusantium iste repudiandae., 309.00, 84
49, Transform Collaborative Applications, At numquam inventore minus quidem nam. Accusamus quas nulla nobis nulla ducimus., 258.00, 117
50, Expedite Extensible Web-Readiness, Non eos aut id mollitia a hic. Ab ab iusto et nobis., 470.00, 155
51, Incentivize Enterprise Web-Readiness, Tempore soluta doloribus fugit reiciendis quia perferendis., 319.00, 170
52, Transform Out-Of-The-Box Users, Quam quo ducimus repudiandae ad deserunt architecto., 443.00, 45
53, Scale Open-Source Portals, Voluptatibus magni officia. Nemo odit libero enim quos nobis maxime. Et dicta nesciunt., 347.00, 43
54, Scale Virtual Functionalities, Excepturi pariatur necessitatibus inventore. Tenetur sunt saepe veritatis magnam dicta., 102.00, 171
55, Embrace Transparent Infrastructures, Vero ipsa suscipit repudiandae accusamus impedit. Voluptas ut illum illum., 389.00, 128
56, Expedite Scalable Communities, Repellat voluptatem et amet. Delectus ullam aut., 425.00, 77
57, Empower Rich Communities, Nesciunt dolorem molestiae quae ex. Vitae nam nobis. Esse nulla sed saepe ex animi., 459.00, 4
58, Benchmark Robust Metrics, Fuga animi voluptatibus nam omnis mollitia. Provident amet cupiditate quos magnam eligendi natus., 125.00, 10
59, Empower Frictionless Vortals, Perferendis tempore a ab quos. Minima quam illum quod harum sequi esse., 444.00, 144
60, Architect Ubiquitous Web Services, At distinctio in quaerat.\nQuis adipisci rem. Quibusdam repellendus nulla nulla., 405.00, 74
61, Disintermediate Extensible Platforms, Laborum hic voluptatum velit voluptatibus pariatur quae. Voluptas nihil commodi molestiae., 487.00, 31
62, Unleash World-Class Web Services, Dolorem nihil voluptate iste commodi ab. Incidunt ipsam aut doloremque rerum repudiandae eos., 110.00, 29
63, Orchestrate Turn-Key Initiatives, Excepturi minus impedit aspernatur eveniet sit., 249.00, 130
64, Visualize Strategic Applications, Quas fuga itaque suscipit. Facilis cum repellat reiciendis in voluptatibus quas., 235.00, 133
65, Facilitate End-To-End Technologies, Ea autem totam neque voluptatum ipsam sequi. Ducimus iste voluptatibus odio accusantium., 436.00, 10
66, Facilitate Cross-Platform Eyeballs, Eaque eum aut qui. Quibusdam voluptates facere voluptates sed aliquam., 452.00, 122
67, Aggregate Dynamic Supply-Chains, Qui sit quod quae deserunt nihil neque. Cumque quidem eos.\nPossimus error sit., 248.00, 73
68, Strategize User-Centric Methodologies, Est facilis autem recusandae et rem., 398.00, 198
69, Target Scalable Applications, Corrupti corporis quia molestias possimus repudiandae nihil. Provident harum optio esse dolores., 86.00, 8
70, Benchmark E-Business Synergies, Quis optio libero. Aspernatur aut exercitationem alias libero., 108.00, 164
71, Synergize Robust Communities, Nesciunt debitis dolorem molestias alias in unde. Voluptate porro atque., 308.00, 48
72, Leverage Holistic Web-Readiness, Reiciendis accusantium rem ad sed sunt. Aspernatur enim numquam eligendi ipsum., 380.00, 79
73, Revolutionize Scalable Partnerships, Voluptate dolores voluptates fugit autem voluptatem beatae. Aperiam minima minus maxime blanditiis., 442.00, 100
74, Harness Granular Architectures, Blanditiis enim earum. Ea excepturi aspernatur reiciendis eveniet., 7.00, 187
75, Visualize Out-Of-The-Box Mindshare, Sit ipsa quia. Velit officiis consequuntur ullam. Voluptatum quis architecto tempore., 99.00, 159
76, Mesh Front-End Experiences, Excepturi dolorum quis., 357.00, 188
77, Unleash Extensible Schemas, Quas amet eos vitae. Dolorem eveniet facere eveniet cupiditate perspiciatis., 450.00, 135
78, Mesh 24/365 Roi, Totam unde rem temporibus velit provident odit. Doloremque non nisi fugiat., 54.00, 148
79, Productize Turn-Key Communities, In laudantium similique mollitia itaque. Magni deserunt quasi odit., 346.00, 62
80, Envisioneer Bleeding-Edge E-Commerce, Natus dicta saepe sit sit. Perferendis sapiente delectus ad ullam molestias ratione., 442.00, 31
81, Drive Cross-Platform E-Markets, Quos cum dolorem accusantium facilis ea architecto. Delectus at sint. Magni ex animi vitae eius id., 156.00, 199
82, Expedite Integrated Methodologies, Quibusdam placeat non voluptatem ratione voluptatum., 100.00, 122
83, Matrix Granular Platforms, Itaque recusandae distinctio accusamus suscipit in., 249.00, 158
84, Exploit Viral Users, Accusamus eum quibusdam veritatis., 472.00, 107
85, Envisioneer B2C Communities, Unde illo adipisci. Vero molestias laudantium sit nam ipsa iusto., 12.00, 97
86, Drive Best-Of-Breed Experiences, Tenetur perspiciatis dignissimos quae quam. Dolorum eveniet dolor vel aliquam facere., 474.00, 154
87, Evolve Granular Platforms, Quod aliquid vitae earum. Adipisci iste doloremque deserunt., 248.00, 83
88, Target Killer Web Services, Ducimus porro eius voluptate hic. Facilis ea rerum ut at sed iste., 199.00, 102
89, Enable Integrated Supply-Chains, Tenetur repellendus ab tenetur. Asperiores officia a excepturi., 411.00, 151
90, Unleash Viral Functionalities, Labore quaerat similique ea fugiat. Numquam ullam mollitia beatae., 261.00, 63
91, Drive Back-End Deliverables, Enim quidem quaerat ullam ea voluptates. Facere facere pariatur debitis neque iusto eligendi., 159.00, 173
92, Transition Interactive Vortals, Repudiandae tempore praesentium tempora ab labore ipsum., 16.00, 83
93, Generate 24/365 Schemas, Dicta mollitia quis ducimus nisi minus dolore. Necessitatibus vero facere dolorem esse., 291.00, 193
94, Engage E-Business Partnerships, Ratione quibusdam harum.\nQuae quae totam minus nulla. Eos vero rerum occaecati a mollitia., 285.00, 103
95, Implement World-Class Deliverables, Quo impedit aliquid. Nulla voluptas sapiente nesciunt magnam non temporibus., 412.00, 106
96, Productize Killer Paradigms, Occaecati quas hic. Unde voluptatem sunt sunt., 237.00, 10
97, Incentivize Synergistic Info-Mediaries, Vel ipsam quasi vitae ea repellendus. Id quidem est mollitia reprehenderit minus ea., 342.00, 45
98, Evolve Holistic Convergence, Suscipit debitis est eos debitis. Occaecati beatae numquam., 20.00, 156
99, Expedite Mission-Critical Eyeballs, Iure hic aperiam dolorum fugit. Magni neque vel facere quaerat., 306.00, 9
100, Innovate Next-Generation Interfaces, Nulla perferendis quae deserunt delectus corrupti rerum ab. Eaque ab quos veritatis., 391.00, 139
101, Innovate Robust Markets, Ea porro nobis necessitatibus. Ea animi aperiam natus quaerat., 211.00, 179
102, Architect Efficient Convergence, Dolores dolor voluptatibus deserunt molestias laborum. Non maxime alias quis., 297.00, 96
