id_transacao,id_curso,id_usuario,valor,metodo_pagamento,data
1,7,4,191.00,boleto,2025-04-09 21:28:23.400
2,6,92,133.00,boleto,2025-04-07 09:00:04.482
3,7,13,156.00,credito,2025-04-07 05:53:09.439
4,10,55,15.00,debito,2025-07-03 06:21:08.305
5,19,11,417.00,debito,2025-08-15 12:18:47.916
6,8,93,302.00,credito,2025-04-21 02:36:57.020
7,8,42,147.00,debito,2025-01-06 02:53:47.726
8,16,51,20.00,pix,2025-07-29 11:55:57.915
9,12,86,109.00,debito,2025-06-22 01:53:42.462
10,11,58,452.00,credito,2025-03-03 00:09:55.846
11,13,13,189.00,boleto,2025-06-01 21:21:28.677
12,6,73,57.00,credito,2025-03-21 05:28:47.097
13,18,55,463.00,debito,2025-01-30 05:26:15.850
14,14,46,132.00,boleto,2025-01-27 04:08:39.640
15,16,64,210.00,credito,2025-03-02 09:45:32.094
16,7,1,64.00,pix,2025-06-17 10:29:32.748
17,16,100,291.00,boleto,2025-08-10 21:52:18.569
18,7,87,365.00,boleto,2025-04-25 16:46:39.543
19,3,93,233.00,credito,2025-01-28 03:52:22.913
20,18,66,250.00,boleto,2025-04-14 09:24:36.246
21,6,6,287.00,pix,2025-03-10 08:51:49.187
22,8,43,181.00,boleto,2025-03-24 06:31:03.888
23,18,77,33.00,debito,2025-07-08 10:11:14.346
24,13,40,389.00,credito,2025-06-05 00:52:08.462
25,11,38,174.00,boleto,2025-03-27 23:30:04.241
26,16,39,104.00,credito,2025-07-23 07:25:52.197
27,20,36,63.00,credito,2025-05-03 15:30:10.869
28,19,25,492.00,boleto,2025-04-29 03:35:47.696
29,17,75,177.00,boleto,2025-03-16 13:40:24.187
30,18,98,306.00,pix,2025-03-25 13:12:22.908
31,10,97,484.00,debito,2025-02-02 13:57:42.348
32,2,2,13.00,credito,2025-01-25 15:52:03.394
33,6,84,413.00,boleto,2025-02-13 03:52:55.817
34,4,79,101.00,pix,2025-07-03 19:51:37.663
35,4,28,497.00,debito,2025-02-18 03:35:51.521
36,11,22,350.00,pix,2025-04-08 14:44:54.976
37,18,3,411.00,boleto,2025-06-02 05:29:15.202
38,2,21,318.00,debito,2025-07-07 17:55:04.382
39,3,5,112.00,credito,2025-01-19 09:57:02.538
40,5,70,397.00,credito,2025-07-04 23:38:10.160
41,5,29,203.00,boleto,2025-06-23 20:44:52.991
42,17,12,443.00,pix,2025-02-28 09:02:18.936
43,14,81,314.00,debito,2025-07-28 05:23:26.126
44,16,66,139.00,credito,2025-05-24 22:15:12.051
45,14,87,75.00,debito,2025-05-08 00:05:55.029
46,19,38,494.00,pix,2025-06-19 12:41:59.144
47,1,95,349.00,credito,2025-01-14 05:46:15.684
48,6,82,168.00,pix,2025-03-14 10:50:37.860
49,2,59,189.00,boleto,2025-07-22 01:58:45.938
50,4,8,337.00,boleto,2025-07-21 05:14:31.101
51,16,88,24.00,credito,2025-05-09 20:40:30.301
52,3,11,264.00,credito,2025-07-12 13:06:33.098
53,18,56,28.00,credito,2025-08-09 09:32:44.423
54,19,32,43.00,debito,2025-06-07 02:18:07.214
55,4,81,423.00,credito,2025-08-21 05:20:45.650
56,5,96,223.00,boleto,2025-05-05 11:18:33.791
57,15,13,438.00,pix,2025-08-18 17:41:01.650
58,11,76,159.00,pix,2025-04-16 05:03:05.828
59,19,67,189.00,credito,2025-04-02 00:10:38.038
60,7,89,191.00,debito,2025-03-05 10:14:58.196
61,1,72,16.00,credito,2025-01-24 13:22:26.694
62,19,20,408.00,pix,2025-02-09 07:04:37.266
63,9,5,84.00,pix,2025-04-16 23:23:54.844
64,4,42,270.00,pix,2025-02-03 17:48:02.061
65,12,36,80.00,debito,2025-03-25 23:37:07.009
66,4,70,186.00,debito,2025-05-18 05:15:12.212
67,18,16,424.00,credito,2025-08-15 21:33:03.444
68,5,87,261.00,pix,2025-05-10 07:38:31.471
69,8,56,414.00,boleto,2025-06-21 00:22:44.627
70,6,23,472.00,pix,2025-03-22 06:23:04.182
71,9,36,455.00,boleto,2025-04-15 17:37:16.400
72,1,6,175.00,pix,2025-01-14 13:13:06.321
73,13,55,181.00,debito,2025-04-06 21:06:26.574
74,8,89,105.00,credito,2025-01-05 08:11:08.200
75,8,29,342.00,debito,2025-01-25 10:27:23.002
76,16,91,235.00,pix,2025-07-12 21:00:01.634
77,15,47,20.00,debito,2025-02-16 22:33:50.404
78,11,81,402.00,boleto,2025-07-08 18:22:15.478
79,2,22,223.00,credito,2025-07-21 14:00:48.439
80,16,79,255.00,pix,2025-04-25 07:22:36.175
81,13,31,259.00,boleto,2025-02-17 10:51:51.407
82,20,98,298.00,debito,2025-01-28 13:32:40.602
83,19,96,311.00,boleto,2025-05-18 21:27:38.633
84,10,44,217.00,pix,2025-03-02 10:05:19.115
85,7,12,186.00,pix,2025-06-24 10:19:15.693
86,11,23,4.00,debito,2025-06-15 01:19:15.633
87,14,15,145.00,debito,2025-04-29 12:02:53.394
88,5,42,2.00,debito,2025-05-06 12:39:56.038
89,11,18,256.00,boleto,2025-08-12 15:31:22.947
90,18,52,122.00,boleto,2025-01-03 14:48:00.595
91,11,36,398.00,boleto,2025-03-16 01:32:02.829
92,7,99,94.00,boleto,2025-02-27 06:58:10.433
93,18,51,402.00,debito,2025-06-20 17:47:14.839
94,1,90,452.00,pix,2025-04-10 23:38:12.011
95,12,50,68.00,debito,2025-07-24 08:10:36.391
96,2,59,250.00,boleto,2025-07-03 09:12:54.841
97,6,51,86.00,debito,2025-07-16 06:22:51.500
98,5,4,88.00,boleto,2025-05-20 13:16:03.072
99,2,94,199.00,pix,2025-05-07 08:53:19.715
100,16,50,161.00,credito,2025-08-04 20:38:49.758
101,17,76,333.00,debito,2025-03-31 10:51:50.472
102,6,42,197.00,credito,2025-05-19 23:55:41.777
103,18,42,408.00,debito,2025-06-27 09:06:06.608
104,11,27,148.00,debito,2025-06-17 12:07:25.870
105,3,87,268.00,boleto,2025-06-20 14:23:07.020
106,2,4,142.00,boleto,2025-07-29 08:27:08.041
107,14,76,39.00,debito,2025-02-26 15:39:38.620
108,8,46,488.00,boleto,2025-06-24 03:26:17.926
109,4,29,79.00,boleto,2025-05-08 06:11:53.614
110,4,22,371.00,boleto,2025-06-12 17:28:49.272
111,15,17,68.00,boleto,2025-03-10 10:29:34.467
112,19,94,158.00,boleto,2025-05-24 19:06:46.582
113,9,60,110.00,credito,2025-01-18 05:34:22.081
114,6,99,327.00,credito,2025-03-04 07:16:57.435
115,7,61,422.00,pix,2025-04-22 17:36:59.740
116,12,69,10.00,credito,2025-03-26 14:05:48.092
117,4,12,115.00,credito,2025-04-30 22:55:32.091
118,13,16,277.00,credito,2025-05-03 07:12:01.554
119,4,71,480.00,boleto,2025-06-05 19:44:49.733
120,11,87,183.00,pix,2025-02-22 02:06:08.707
121,4,72,453.00,debito,2025-06-16 01:22:42.123
122,17,61,397.00,credito,2025-02-04 05:00:32.150
123,3,20,405.00,credito,2025-04-19 17:29:40.492
124,4,68,489.00,credito,2025-02-22 10:02:24.117
125,5,95,62.00,debito,2025-01-04 17:20:57.542
126,20,17,292.00,credito,2025-03-09 17:42:44.732
127,16,13,73.00,debito,2025-05-28 11:59:02.477
128,13,84,263.00,credito,2025-05-03 02:10:30.584
129,20,82,319.00,credito,2025-07-31 03:17:54.044
130,3,27,111.00,boleto,2025-02-05 20:48:01.037
131,13,78,242.00,pix,2025-07-04 22:38:12.689
132,11,47,130.00,credito,2025-03-12 21:25:32.641
133,3,6,452.00,pix,2025-03-25 10:05:32.865
134,10,12,187.00,credito,2025-05-02 06:07:08.706
135,12,1,396.00,pix,2025-02-24 13:30:25.254
136,5,30,419.00,pix,2025-06-02 04:17:39.527
137,5,40,309.00,boleto,2025-02-22 13:28:15.344
138,3,98,344.00,debito,2025-03-19 18:17:17.097
139,1,89,429.00,debito,2025-05-20 12:03:07.241
140,5,5,411.00,pix,2025-07-22 08:37:31.107
141,15,67,291.00,credito,2025-05-02 16:41:15.373
142,14,15,153.00,pix,2025-06-07 09:13:27.921
143,8,39,353.00,boleto,2025-04-15 17:19:41.846
144,18,1,136.00,pix,2025-01-10 14:43:44.456
145,17,46,218.00,credito,2025-04-03 20:59:45.380
146,7,49,35.00,debito,2025-08-15 07:22:33.579
147,13,72,97.00,boleto,2025-03-09 18:28:12.185
148,17,49,424.00,pix,2025-07-31 05:39:56.540
149,2,5,288.00,pix,2025-04-03 23:37:16.609
150,12,18,230.00,credito,2025-06-12 00:41:50.855
151,20,17,322.00,pix,2025-04-28 04:38:56.300
152,9,47,452.00,boleto,2025-05-12 18:35:59.780
153,5,61,232.00,boleto,2025-07-17 17:06:49.235
154,13,33,59.00,pix,2025-06-08 13:28:32.572
155,8,88,49.00,boleto,2025-08-02 01:15:44.200
156,10,97,329.00,credito,2025-03-02 04:45:42.235
157,8,36,492.00,boleto,2025-04-05 18:41:07.775
158,16,27,2.00,credito,2025-06-29 02:55:34.427
159,16,58,361.00,pix,2025-01-29 04:00:11.455
160,7,44,370.00,debito,2025-01-13 00:16:14.898
161,16,12,389.00,pix,2025-02-12 01:37:51.057
162,4,41,217.00,boleto,2025-02-06 23:04:41.447
163,17,1,266.00,credito,2025-07-16 04:56:20.658
164,18,86,73.00,debito,2025-01-06 14:40:57.895
165,6,86,261.00,boleto,2025-03-10 20:43:00.214
166,11,65,188.00,pix,2025-02-19 04:51:48.895
167,7,40,389.00,pix,2025-03-11 09:39:46.586
168,19,1,123.00,pix,2025-08-25 19:47:32.814
169,19,32,196.00,debito,2025-01-20 12:05:15.935
170,16,87,70.00,credito,2025-02-10 14:08:13.700
171,12,65,12.00,boleto,2025-02-05 15:00:19.270
172,15,42,95.00,debito,2025-05-11 07:28:06.921
173,14,23,345.00,boleto,2025-04-28 01:54:35.744
174,4,27,130.00,pix,2025-05-25 09:37:30.285
175,5,100,432.00,pix,2025-06-09 23:40:43.286
176,5,9,160.00,pix,2025-01-30 00:58:23.555
177,1,10,69.00,pix,2025-05-30 01:59:04.035
178,6,16,426.00,credito,2025-01-31 07:56:21.153
179,2,50,348.00,debito,2025-03-31 08:54:37.598
180,3,49,117.00,credito,2025-05-05 05:05:51.827
